날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2025-11-08,08:28,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-08,07:41,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-07,21:23,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-409,KRW,네이버페이 간편결제(머니),
2025-11-07,21:23,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-91,KRW,네이버페이 간편결제(포인트),
2025-11-07,20:28,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-07,19:56,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-07,18:39,지출,문화/여가,게임,ALIPAY CONNECT PTE. LTD,-3958,KRW,카카오페이 간편결제,
2025-11-07,14:24,지출,카페/간식,베이커리,전통찻집 코끼리베이글,-7800,KRW,네이버페이 머니 하나 체크카드,
2025-11-07,13:47,지출,식비,양식,롤링파스타 종로지점,-12700,KRW,네이버페이 간편결제(머니),
2025-11-07,08:37,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-07,07:39,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-07,01:50,지출,온라인쇼핑,결제/충전,페이플,-6210,KRW,네이버페이 간편결제(머니),
2025-11-07,01:50,지출,온라인쇼핑,결제/충전,페이플,-6210,KRW,네이버페이 머니,
2025-11-06,21:21,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(머니),
2025-11-06,20:39,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-06,20:01,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-06,19:50,지출,생활,생필품,주식회사 아성다이소,-5000,KRW,네이버페이 간편결제(머니),
2025-11-06,18:53,지출,온라인쇼핑,결제/충전,페이플,100,KRW,네이버페이 간편결제(머니),
2025-11-06,18:53,지출,온라인쇼핑,결제/충전,페이플,-100,KRW,네이버페이 간편결제(머니),
2025-11-06,13:53,지출,금융,은행,송금 내역,-12500,KRW,카카오페이 머니,
2025-11-06,07:40,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-05,20:39,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-05,20:04,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-05,13:51,지출,카페/간식,커피/음료,탐앤탐스 종로한올타워점,-500,KRW,네이버페이 간편결제(머니),
2025-11-05,13:25,지출,식비,패스트푸드,버거옥,-2500,KRW,네이버페이 간편결제(머니),
2025-11-05,09:13,지출,온라인쇼핑,결제/충전,나이스_결제,-2400,KRW,네이버페이 머니 하나 통장,
2025-11-05,08:34,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-05,08:34,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-05,07:40,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-04,20:28,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-04,19:58,지출,생활,생필품,주식회사 아성다이소,-1481,KRW,네이버페이 간편결제(머니),
2025-11-04,19:58,지출,생활,생필품,주식회사 아성다이소,-19,KRW,네이버페이 간편결제(포인트),
2025-11-04,19:56,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-04,14:03,지출,카페/간식,커피/음료,메가엠지씨커피 서울탑골공원점,-3742,KRW,네이버페이 간편결제(머니),
2025-11-04,14:03,지출,카페/간식,커피/음료,메가엠지씨커피 서울탑골공원점,-58,KRW,네이버페이 간편결제(포인트),
2025-11-04,13:25,지출,온라인쇼핑,결제/충전,나이스_결제,-7000,KRW,네이버페이 머니 하나 통장,
2025-11-04,09:26,지출,온라인쇼핑,결제/충전,나이스_결제,-2200,KRW,네이버페이 머니 하나 통장,
2025-11-04,07:39,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-03,21:22,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(머니),
2025-11-03,13:58,지출,생활,생필품,주식회사 아성다이소,-996,KRW,네이버페이 간편결제(머니),
2025-11-03,13:58,지출,생활,생필품,주식회사 아성다이소,-4,KRW,네이버페이 간편결제(포인트),
2025-11-03,13:28,지출,금융,은행,송금 내역,-7450,KRW,카카오페이 머니,
2025-11-01,20:27,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-01,19:57,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-01,18:58,지출,온라인쇼핑,인터넷쇼핑,ALIEXPRESS.COM,-4508,KRW,토스 간편결제,
2025-11-01,18:58,지출,생활,편의점,토스페이,-12557,KRW,토스뱅크 통장,
2025-11-01,17:01,지출,온라인쇼핑,인터넷쇼핑,Aliexpress.com,7902,KRW,국민행복,
2025-11-01,16:31,지출,온라인쇼핑,인터넷쇼핑,Aliexpress.com,-7902,KRW,국민행복,
2025-11-01,08:31,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-01,08:31,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-01,08:28,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-01,07:39,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-31,21:23,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-388,KRW,네이버페이 간편결제(머니),
2025-10-31,21:23,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-112,KRW,네이버페이 간편결제(포인트),
2025-10-31,20:27,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-31,19:59,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-10-31,19:53,지출,문화/여가,도서,알라딘중고서점(종로),-19800,KRW,네이버페이 간편결제(머니),
2025-10-31,19:31,지출,문화/여가,게임,ALIPAY CONNECT PTE. LTD,-1800,KRW,카카오페이 간편결제,
2025-10-31,14:13,지출,카페/간식,커피/음료,메가엠지씨커피 종로3가역사거리점,-1072,KRW,네이버페이 간편결제(머니),
2025-10-31,14:13,지출,카페/간식,커피/음료,메가엠지씨커피 종로3가역사거리점,-128,KRW,네이버페이 간편결제(포인트),
2025-10-31,14:08,지출,식비,한식,잘빠진메밀 익선점,-24000,KRW,네이버페이 머니 하나 체크카드,
2025-10-31,11:41,지출,문화/여가,도서,알라딘커뮤니케이션,-20560,KRW,네이버페이 간편결제(머니),
2025-10-31,11:39,지출,교육/학습,학원/강의,인프런,-11000,KRW,네이버페이 간편결제(머니),
2025-10-31,07:41,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-31,00:00,지출,금융,카드,10월카드사용알림서비스이용료,0,KRW,국민행복,
2025-10-30,21:23,지출,교통,철도,한국철도공사 수도권서부본부별관,-1200,KRW,네이버페이 간편결제(머니),
2025-10-30,20:28,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-30,19:58,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-10-30,09:18,지출,온라인쇼핑,결제/충전,나이스_결제,-2900,KRW,네이버페이 머니 하나 통장,
2025-10-30,07:42,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-29,20:38,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-29,20:04,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-10-29,19:55,지출,생활,생필품,주식회사 아성다이소,-2000,KRW,네이버페이 간편결제(머니),
2025-10-29,14:22,지출,카페/간식,커피/음료,메가MGC커피 선물하기,-1180,KRW,네이버페이 간편결제(머니),
2025-10-29,14:22,지출,카페/간식,커피/음료,메가MGC커피 선물하기,-1180,KRW,네이버페이 머니,
2025-10-29,14:11,지출,카페/간식,커피/음료,메가엠지씨커피 서울탑골공원점,-500,KRW,네이버페이 간편결제(머니),
2025-10-29,13:38,지출,식비,패스트푸드,버거옥,-10000,KRW,네이버페이 간편결제(머니),
2025-10-29,10:03,지출,카페/간식,커피/음료,메가MGC커피 선물하기,-2510,KRW,네이버페이 간편결제(머니),
2025-10-29,10:03,지출,카페/간식,커피/음료,메가MGC커피 선물하기,-2510,KRW,네이버페이 머니,
2025-10-29,10:02,지출,카페/간식,커피/음료,메가MGC커피 선물하기,-2060,KRW,네이버페이 간편결제(머니),
2025-10-29,10:02,지출,카페/간식,커피/음료,메가MGC커피 선물하기,-2060,KRW,네이버페이 머니,
2025-10-29,10:01,지출,카페/간식,커피/음료,메가MGC커피 선물하기,-30,KRW,네이버페이 간편결제(포인트),
2025-10-29,08:34,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-10-29,07:40,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-28,21:41,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(머니),
2025-10-28,20:39,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-28,20:34,지출,생활,편의점,씨유(CU) 판교현대점,-3200,KRW,K-패스 하나 체크카드,
2025-10-28,20:01,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-10-28,13:53,지출,금융,카드,엔에이치엔페이코 주,-2000,KRW,네이버페이 간편결제(머니),
2025-10-28,13:53,지출,금융,카드,엔에이치엔페이코 주,-2000,KRW,네이버페이 머니,
2025-10-28,13:53,지출,금융,카드,엔에이치엔페이코 주,-1000,KRW,네이버페이 간편결제(머니),
2025-10-28,13:53,지출,금융,카드,엔에이치엔페이코 주,-1000,KRW,네이버페이 머니,
2025-10-28,13:50,지출,생활,생필품,주식회사 아성다이소,-3000,KRW,네이버페이 간편결제(머니),
2025-10-28,13:32,지출,생활,편의점,(주)코리아세븐 NewWave종각점,-4450,KRW,네이버페이 머니 하나 체크카드,
2025-10-28,08:34,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-10-28,07:41,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-27,21:41,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(머니),
2025-10-27,19:52,지출,생활,생필품,주식회사 아성다이소,-2916,KRW,네이버페이 간편결제(머니),
2025-10-27,19:52,지출,생활,생필품,주식회사 아성다이소,-84,KRW,네이버페이 간편결제(포인트),
2025-10-27,18:25,지출,온라인쇼핑,결제/충전,나이스_결제,-2560,KRW,네이버페이 머니 하나 통장,
2025-10-27,13:34,지출,생활,편의점,(주)코리아세븐 NewWave종각점,-3300,KRW,K-패스 하나 체크카드,
2025-10-26,18:07,지출,온라인쇼핑,결제/충전,나이스_결제,-2000,KRW,네이버페이 머니 하나 통장,
2025-10-26,16:06,지출,온라인쇼핑,서비스구독,OPENAI *CHATGPT SUBSCR,-32962,KRW,네이버페이 간편결제(머니),
2025-10-26,16:06,지출,온라인쇼핑,서비스구독,OPENAI *CHATGPT SUBSCR,-32962,KRW,네이버페이 머니,
2025-10-26,15:08,지출,생활,마트,부발농업협동조합신하지점,-1830,KRW,K-패스 하나 체크카드,
2025-10-26,12:01,지출,카페/간식,커피/음료,더벤티 이천신하점,-3462,KRW,네이버페이 간편결제(머니),
2025-10-26,12:01,지출,카페/간식,커피/음료,더벤티 이천신하점,-38,KRW,네이버페이 간편결제(포인트),
2025-10-26,10:32,지출,교통,대중교통,경기시내버스_이비,-1650,KRW,K-패스 하나 체크카드,
2025-10-25,20:09,지출,카페/간식,커피/음료,메가MGC커피 이천하이닉스점,-2700,KRW,네이버페이 간편결제(머니),
2025-10-25,12:24,지출,카페/간식,아이스크림/빙수,현대 아이스크림 할인점,-700,KRW,네이버페이 간편결제(머니),
2025-10-25,11:28,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(머니),
2025-10-25,11:03,지출,의료/건강,피부과,닥터스피부과의원,-4700,KRW,K-패스 하나 체크카드,
2025-10-25,10:25,지출,뷰티/미용,헤어샵,문(Moon)헤어살롱,-15000,KRW,K-패스 하나 체크카드,
2025-10-25,08:34,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-25,08:34,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-25,08:31,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-25,07:39,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-24,13:58,지출,식비,한식,취야벌,-25000,KRW,네이버페이 머니 하나 체크카드,
2025-10-24,10:58,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-24,10:30,지출,교통,대중교통,경기시내버스_이비,-2800,KRW,K-패스 하나 체크카드,
2025-10-24,07:40,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-23,20:40,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-23,20:07,지출,교통,대중교통,경기시내버스_이비,-2800,KRW,K-패스 하나 체크카드,
2025-10-23,14:08,지출,카페/간식,커피/음료,더벤티 이천신하점,-3414,KRW,네이버페이 간편결제(머니),
2025-10-23,14:08,지출,카페/간식,커피/음료,더벤티 이천신하점,-86,KRW,네이버페이 간편결제(포인트),
2025-10-23,11:56,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(머니),
2025-10-23,07:39,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-22,20:29,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-22,19:56,지출,교통,대중교통,경기시내버스_이비,-2800,KRW,K-패스 하나 체크카드,
2025-10-22,19:55,지출,생활,생필품,주식회사 아성다이소,-2430,KRW,네이버페이 간편결제(머니),
2025-10-22,19:55,지출,생활,생필품,주식회사 아성다이소,-70,KRW,네이버페이 간편결제(포인트),
2025-10-22,14:19,지출,온라인쇼핑,결제/충전,나이스_결제,-7000,KRW,네이버페이 머니 하나 통장,
2025-10-22,14:10,지출,금융,은행,송금 내역,-12500,KRW,카카오페이 머니,
2025-10-22,09:16,지출,온라인쇼핑,결제/충전,나이스_결제,-2900,KRW,네이버페이 머니 하나 통장,
2025-10-22,08:37,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-22,08:31,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-22,07:41,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-21,20:38,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-21,20:04,지출,교통,대중교통,경기시내버스_이비,-2800,KRW,K-패스 하나 체크카드,
2025-10-21,14:27,지출,카페/간식,커피/음료,메가엠지씨커피 서울탑골공원점,-8300,KRW,네이버페이 머니 하나 체크카드,
2025-10-21,14:21,지출,식비,한식,이경문순대곱창,-10000,KRW,네이버페이 머니 하나 체크카드,
2025-10-21,07:41,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-20,21:41,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(머니),
2025-10-20,19:57,지출,생활,생필품,주식회사 아성다이소,-3000,KRW,네이버페이 간편결제(머니),
2025-10-20,16:40,지출,온라인쇼핑,결제/충전,나이스_결제,-2900,KRW,네이버페이 머니 하나 통장,
2025-10-20,13:42,지출,식비,패스트푸드,BKR버거킹종로점,-10899,KRW,네이버페이 간편결제(머니),
2025-10-20,13:42,지출,식비,패스트푸드,BKR버거킹종로점,-201,KRW,네이버페이 간편결제(포인트),
2025-10-18,21:38,지출,식비,치킨,자담치킨(SK하이닉스점),-21000,KRW,Deep On (체크),
2025-10-18,21:30,지출,온라인쇼핑,결제/충전,Alipay Plus,1893,KRW,네이버페이 간편결제(머니),
2025-10-18,21:24,지출,온라인쇼핑,결제/충전,Alipay Plus,13265,KRW,네이버페이 간편결제(머니),
2025-10-18,20:39,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-18,19:55,지출,교통,대중교통,경기시내버스_이비,-2800,KRW,K-패스 하나 체크카드,
2025-10-18,19:43,지출,온라인쇼핑,결제/충전,Alipay Plus,-17445,KRW,네이버페이 간편결제(머니),
2025-10-18,18:00,지출,온라인쇼핑,결제/충전,Alipay Plus,6369,KRW,네이버페이 간편결제(머니),
2025-10-18,15:00,지출,온라인쇼핑,결제/충전,Alipay Plus,1776,KRW,네이버페이 간편결제(머니),
2025-10-18,08:37,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-18,08:34,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-18,07:39,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-17,22:41,지출,온라인쇼핑,인터넷쇼핑,쿠팡,-12600,KRW,국민행복,
2025-10-17,20:31,지출,온라인쇼핑,결제/충전,나이스_결제,-1700,KRW,네이버페이 머니 하나 통장,
2025-10-17,20:26,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-17,19:55,지출,교통,대중교통,경기시내버스_이비,-2800,KRW,K-패스 하나 체크카드,
2025-10-17,16:30,지출,온라인쇼핑,결제/충전,나이스_결제,-2300,KRW,네이버페이 머니 하나 통장,
2025-10-17,14:10,지출,식비,한식,남도식객,-12000,KRW,K-패스 하나 체크카드,
2025-10-17,08:34,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-17,07:39,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-16,20:40,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-16,20:07,지출,교통,대중교통,경기시내버스_이비,-2800,KRW,K-패스 하나 체크카드,
2025-10-16,13:33,지출,카페/간식,커피/음료,주식회사 에스씨케이컴퍼니,-800,KRW,카카오페이 간편결제,
2025-10-16,13:23,지출,온라인쇼핑,결제/충전,나이스_결제,-3400,KRW,네이버페이 머니 하나 통장,
2025-10-16,09:21,지출,온라인쇼핑,결제/충전,나이스_결제,-2600,KRW,네이버페이 머니 하나 통장,
2025-10-16,07:39,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-15,20:39,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-15,20:07,지출,교통,대중교통,경기시내버스_이비,-2800,KRW,K-패스 하나 체크카드,
2025-10-15,19:51,지출,생활,편의점,(주)코리아세븐 NewWave종각점,-3300,KRW,K-패스 하나 체크카드,
2025-10-15,14:15,지출,카페/간식,커피/음료,메가엠지씨커피 종로낙원점,-3325,KRW,네이버페이 간편결제(머니),
2025-10-15,14:15,지출,카페/간식,커피/음료,메가엠지씨커피 종로낙원점,-2075,KRW,네이버페이 간편결제(포인트),
2025-10-15,09:18,지출,온라인쇼핑,결제/충전,나이스_결제,-2300,KRW,네이버페이 머니 하나 통장,
2025-10-15,08:34,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-15,08:31,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-15,08:31,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-15,08:28,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-15,07:39,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-14,20:38,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-10-14,20:02,지출,교통,대중교통,경기시내버스_이비,-2800,KRW,K-패스 하나 체크카드,
2025-10-14,19:54,지출,생활,생필품,주식회사 아성다이소,-1990,KRW,네이버페이 간편결제(머니),
2025-10-14,19:54,지출,생활,생필품,주식회사 아성다이소,-10,KRW,네이버페이 간편결제(포인트),
2025-10-14,13:59,지출,식비,한식,무궁화,-12000,KRW,K-패스 하나 체크카드,
2025-10-14,08:40,지출,교통,대중교통,경기시내버스_이비,-1350,KRW,K-패스 하나 체크카드,
2025-10-14,07:40,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-13,21:46,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(머니),
2025-10-13,13:31,지출,카페/간식,커피/음료,메가엠지씨커피 서울탑골공원점,-2900,KRW,네이버페이 간편결제(머니),
2025-10-13,13:24,지출,온라인쇼핑,결제/충전,나이스_결제,-3400,KRW,네이버페이 머니 하나 통장,
2025-10-13,12:22,지출,문화/여가,게임,에드몰,-84,KRW,네이버페이 간편결제(포인트),
2025-10-13,12:22,지출,문화/여가,게임,에드몰,-20216,KRW,네이버페이 간편결제,
2025-10-13,09:32,지출,카페/간식,커피/음료,더리터 직영종로점,-3800,KRW,네이버페이 간편결제(머니),
2025-10-13,04:47,지출,금융,카드,하나카드_체크,-153550,KRW,네이버페이 머니 하나 통장,
2025-10-11,17:20,지출,온라인쇼핑,결제/충전,Alipay Plus,-14551,KRW,네이버페이 간편결제(머니),
2025-10-10,11:40,지출,온라인쇼핑,결제/충전,(주)KG이니시스,-25096,KRW,네이버페이 간편결제(머니),
2025-10-10,11:40,지출,온라인쇼핑,결제/충전,(주)KG이니시스,-25096,KRW,네이버페이 머니,
2025-10-10,10:19,지출,온라인쇼핑,인터넷쇼핑,삼성10-003건,-22287,KRW,네이버페이 머니 하나 통장,
2025-10-10,06:13,지출,주거/통신,휴대폰,LG  U+통신요금  자동이체,-990,KRW,국민행복,
2025-10-09,22:00,지출,의료/건강,약국,GS25엘리프아성점,-2000,KRW,네이버페이 간편결제(머니),
2025-10-09,20:58,지출,생활,생필품,주식회사 아성다이소,-6000,KRW,네이버페이 간편결제(머니),
2025-10-09,17:11,지출,온라인쇼핑,결제/충전,토스페이먼츠 주식회사,-13800,KRW,카카오페이 간편결제,
2025-10-09,13:57,지출,카페/간식,아이스크림/빙수,현대 아이스크림 할인점,-1182,KRW,네이버페이 간편결제(머니),
2025-10-09,13:57,지출,카페/간식,아이스크림/빙수,현대 아이스크림 할인점,-118,KRW,네이버페이 간편결제(포인트),
2025-10-08,21:27,지출,카페/간식,커피/음료,메가MGC커피 이천하이닉스점,-6800,KRW,네이버페이 간편결제(머니),
2025-10-08,14:18,지출,카페/간식,아이스크림/빙수,현대 아이스크림 할인점,-604,KRW,네이버페이 간편결제(머니),
2025-10-08,14:18,지출,카페/간식,아이스크림/빙수,현대 아이스크림 할인점,-296,KRW,네이버페이 간편결제(포인트),
2025-10-07,14:58,지출,온라인쇼핑,인터넷쇼핑,Temu.com,-4313,KRW,국민행복,
2025-10-06,19:05,지출,교통,대중교통,티머니 지하철,-1550,KRW,K-패스 하나 체크카드,
2025-10-06,18:12,지출,교통,대중교통,티머니 지하철,-1550,KRW,K-패스 하나 체크카드,
2025-10-06,15:32,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-10-05,19:38,지출,카페/간식,커피/음료,스타벅스코리아,-11800,KRW,K-패스 하나 체크카드,
